country_code,country_name,host,ip_address,port,speed_ms,speed_status
EU,,eu20.sec-tunnel.com,77.111.247.214,443,595,ok
EU,,eu21.sec-tunnel.com,77.111.247.215,443,632,ok
EU,,eu25.sec-tunnel.com,77.111.247.75,443,642,ok
EU,,eu24.sec-tunnel.com,77.111.247.62,443,827,ok
EU,,eu26.sec-tunnel.com,77.111.247.76,443,832,ok
EU,,eu23.sec-tunnel.com,77.111.247.46,443,901,ok
AM,,am5.sec-tunnel.com,77.111.246.43,443,1139,ok
AM,,am3.sec-tunnel.com,77.111.246.41,443,1141,ok
AM,,am0.sec-tunnel.com,77.111.246.126,443,1142,ok
AM,,am11.sec-tunnel.com,77.111.246.64,443,1152,ok
AM,,am4.sec-tunnel.com,77.111.246.42,443,1156,ok
AM,,am1.sec-tunnel.com,77.111.246.28,443,1156,ok
AM,,am9.sec-tunnel.com,77.111.246.61,443,1164,ok
EU,,eu22.sec-tunnel.com,77.111.247.44,443,1181,ok
AM,,am8.sec-tunnel.com,77.111.246.57,443,1186,ok
AM,,am7.sec-tunnel.com,77.111.246.55,443,1186,ok
AM,,am2.sec-tunnel.com,77.111.246.33,443,1197,ok
EU,,eu27.sec-tunnel.com,77.111.247.77,443,1476,ok
EU,,eu28.sec-tunnel.com,77.111.247.8,443,2212,ok
EU,,eu29.sec-tunnel.com,77.111.247.82,443,2493,ok
AS,,as15.sec-tunnel.com,77.111.245.13,443,3045,ok
AS,,as19.sec-tunnel.com,77.111.245.17,443,3712,ok
AS,,as18.sec-tunnel.com,77.111.245.16,443,3717,ok
AS,,as13.sec-tunnel.com,77.111.245.11,443,3959,ok
AS,,as12.sec-tunnel.com,77.111.245.10,443,4103,ok
AS,,as16.sec-tunnel.com,77.111.245.14,443,4131,ok
AS,,as14.sec-tunnel.com,77.111.245.12,443,4428,ok
AS,,as17.sec-tunnel.com,77.111.245.15,443,4980,ok
AM,,am6.sec-tunnel.com,77.111.246.50,443,11170,ok
AM,,am10.sec-tunnel.com,77.111.246.62,443,11172,ok
