"requested_country","proxy_host","proxy_address","google_status","google_lang","google_effective_url"
"AM","am0.sec-tunnel.com","77.111.246.126:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am1.sec-tunnel.com","77.111.246.28:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am2.sec-tunnel.com","77.111.246.33:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am3.sec-tunnel.com","77.111.246.41:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am4.sec-tunnel.com","77.111.246.42:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am5.sec-tunnel.com","77.111.246.43:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am6.sec-tunnel.com","77.111.246.50:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am7.sec-tunnel.com","77.111.246.55:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am8.sec-tunnel.com","77.111.246.57:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am9.sec-tunnel.com","77.111.246.61:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am10.sec-tunnel.com","77.111.246.62:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AM","am11.sec-tunnel.com","77.111.246.64:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AS","as12.sec-tunnel.com","77.111.245.10:443","ok","en-SG","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AS","as13.sec-tunnel.com","77.111.245.11:443","ok","en-SG","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AS","as14.sec-tunnel.com","77.111.245.12:443","ok","en-SG","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AS","as15.sec-tunnel.com","77.111.245.13:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AS","as16.sec-tunnel.com","77.111.245.14:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AS","as17.sec-tunnel.com","77.111.245.15:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AS","as18.sec-tunnel.com","77.111.245.16:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"AS","as19.sec-tunnel.com","77.111.245.17:443","ok","en-RU","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu20.sec-tunnel.com","77.111.247.214:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu21.sec-tunnel.com","77.111.247.215:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu22.sec-tunnel.com","77.111.247.44:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu23.sec-tunnel.com","77.111.247.46:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu24.sec-tunnel.com","77.111.247.62:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu25.sec-tunnel.com","77.111.247.75:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu26.sec-tunnel.com","77.111.247.76:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu27.sec-tunnel.com","77.111.247.77:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu28.sec-tunnel.com","77.111.247.8:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
"EU","eu29.sec-tunnel.com","77.111.247.82:443","ok","en-NL","https://www.google.com/search?q=my+ip&hl=en&pws=0"
